run_id,basket_uid,baseline_tag,close_reason,close_time,main_side,final_pl_anchor,move_fav_max_1h,move_adv_max_1h,coverage_1h,move_fav_max_4h,move_adv_max_4h,coverage_4h,move_fav_max_24h,move_adv_max_24h,coverage_24h
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.01T20:18:52#182#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.01 20:19:40,BUY,401.00,3.32,27.06,1.00,3.32,44.20,0.92,13.99,232.28,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.01T20:30:52#184#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.02 02:10:24,BUY,402.00,10.42,14.75,1.00,10.42,138.79,1.00,10.42,235.85,0.91
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.02T02:46:04#186#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.02 02:54:42,BUY,409.00,12.59,11.04,1.00,12.59,135.08,1.00,12.59,232.14,0.88
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.02T02:59:00#188#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.02 03:08:27,BUY,406.00,10.87,63.45,1.00,10.87,136.80,1.00,10.87,233.86,0.87
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.02T03:32:21#190#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.02 03:34:28,BUY,403.00,6.57,138.59,1.00,6.57,138.59,1.00,6.57,235.65,0.85
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.02T03:37:28#192#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.02 03:39:38,BUY,403.00,4.90,140.26,1.00,4.90,140.26,1.00,4.90,237.32,0.85
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.02T03:44:53#194#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.02 03:46:39,BUY,408.00,-0.99,139.54,1.00,-0.99,139.54,1.00,-0.99,236.60,0.84
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.02T03:51:04#196#1#1,V1_MOSTLY_IDENTICAL,HARDSTOP,2026.04.02 04:05:42,BUY,-9019.00,33.77,79.99,1.00,33.77,79.99,1.00,33.77,177.05,0.83
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.06T03:07:53#198#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.06 03:09:40,SELL,403.00,20.42,19.46,1.00,20.42,50.68,1.00,20.42,85.34,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.06T03:14:02#200#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.06 03:16:40,SELL,407.00,21.84,20.56,1.00,21.84,49.26,1.00,21.84,83.92,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.06T03:45:09#202#0#2,V1_MOSTLY_IDENTICAL,HARDSTOP,2026.04.20 01:06:00,MISSING,-8457.00,MISSING,MISSING,NA,MISSING,MISSING,NA,MISSING,MISSING,NA
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.21T02:15:56#206#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.21 03:09:42,BUY,400.00,2.00,12.19,1.00,2.00,36.18,1.00,2.00,160.40,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.21T03:27:20#208#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.21 03:47:40,BUY,407.00,0.84,16.20,1.00,0.84,35.74,1.00,0.84,157.02,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.21T03:59:02#210#0#2,V1_MOSTLY_IDENTICAL,HARDSTOP,2026.05.04 01:06:00,MISSING,-7875.00,MISSING,MISSING,NA,MISSING,MISSING,NA,MISSING,MISSING,NA
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.05T02:00:00#214#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.05 03:27:37,SELL,406.00,-1.54,25.57,1.00,-1.54,32.38,1.00,-1.54,89.76,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.05T20:35:26#216#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.05 20:54:40,SELL,401.00,0.69,7.49,1.00,MISSING,MISSING,0.77,12.10,164.67,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.05T21:35:00#218#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.05 22:16:27,SELL,401.00,4.33,2.91,1.00,MISSING,MISSING,0.75,9.67,167.10,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.06T01:53:19#220#0#2,V1_MOSTLY_IDENTICAL,HARDSTOP,2026.05.14 01:05:00,MISSING,-7369.00,MISSING,MISSING,NA,MISSING,MISSING,NA,MISSING,MISSING,NA
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T01:05:00#224#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 02:36:28,SELL,409.00,31.26,8.39,1.00,42.72,8.39,1.00,138.00,8.39,0.89
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T03:20:22#226#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 03:20:57,SELL,402.00,43.16,-5.86,1.00,43.62,-5.86,1.00,138.90,-5.86,0.86
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T06:16:20#228#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 06:18:14,SELL,401.00,6.98,7.19,1.00,57.99,7.19,1.00,MISSING,MISSING,0.74
