run_id,basket_uid,baseline_tag,close_reason,final_pl_anchor,worst_prehedge,worst_posthedge,worst_lifecycle,recovery_from_worst
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.01T15:08:04#10#1#1,V1_MOSTLY_IDENTICAL,basket close,402.00,-3123.00,-40.00,-3123.00,3525
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.01T20:18:52#12#1#1,V1_MOSTLY_IDENTICAL,basket close,401.00,-78.00,-48.00,-78.00,479
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.01T20:30:52#14#1#1,V1_MOSTLY_IDENTICAL,basket close,402.00,-6705.00,-51.00,-6705.00,7107
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.02T02:46:04#16#1#1,V1_MOSTLY_IDENTICAL,basket close,409.00,-763.00,-48.00,-763.00,1172
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.02T02:59:00#18#1#1,V1_MOSTLY_IDENTICAL,basket close,406.00,-1571.00,-68.00,-1571.00,1977
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.02T03:32:21#20#1#1,V1_MOSTLY_IDENTICAL,basket close,403.00,-78.00,-76.00,-78.00,481
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.02T03:37:28#22#1#1,V1_MOSTLY_IDENTICAL,basket close,403.00,-130.00,-41.00,-130.00,533
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.02T03:44:53#24#1#1,V1_MOSTLY_IDENTICAL,basket close,408.00,-560.00,-71.00,-560.00,968
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.02T03:51:04#26#1#1,V1_MOSTLY_IDENTICAL,hard stop emergency close,-8397.00,-8397.00,-75.00,-8397.00,0
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.06T03:07:53#28#-1#1,V1_MOSTLY_IDENTICAL,basket close,403.00,-435.00,-85.00,-435.00,838
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.06T03:14:02#30#-1#1,V1_MOSTLY_IDENTICAL,basket close,407.00,-671.00,-78.00,-671.00,1078
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.06T03:45:09#32#0#2,V1_MOSTLY_IDENTICAL,hard stop emergency close,-7794.00,-6212.00,-7794.00,-7794.00,0
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.20T07:48:00#36#-1#1,V1_MOSTLY_IDENTICAL,basket close,402.00,-259.00,-75.00,-259.00,661
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.20T08:01:23#38#-1#1,V1_MOSTLY_IDENTICAL,basket close,404.00,-49.00,-49.00,-49.00,453
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.20T08:17:57#40#-1#1,V1_MOSTLY_IDENTICAL,basket close,402.00,-189.00,-70.00,-189.00,591
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.20T08:29:37#42#-1#1,V1_MOSTLY_IDENTICAL,basket close,410.00,-1371.00,-68.00,-1371.00,1781
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.20T09:05:04#44#-1#1,V1_MOSTLY_IDENTICAL,basket close,402.00,-828.00,-62.00,-828.00,1230
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.20T09:31:38#46#-1#1,V1_MOSTLY_IDENTICAL,basket close,400.00,-383.00,-64.00,-383.00,783
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.20T09:56:04#48#-1#1,V1_MOSTLY_IDENTICAL,basket close,405.00,-2941.00,-49.00,-2941.00,3346
