basket_id,sample_type,close_reason,final_pl,entry_rows,hedge_rows,close_rows,max_concurrent_positions,leg_pl_sum,gross_leg_abs_sum,gross_to_net_ratio,margin_at_hs_min,margin_at_hedge_min,open_time_gate
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0029,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0030,in6run,BasketClose,407.00,1,0,1,1,407,407,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0031,in6run,BasketClose,408.00,1,0,1,1,408,408,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0032,in6run,BasketClose,406.00,1,0,1,1,406,406,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0033,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0034,in6run,BasketClose,404.00,1,0,1,1,404,404,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0035,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0036,in6run,BasketClose,407.00,1,0,1,1,407,407,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0037,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0038,in6run,BasketClose,412.00,1,0,1,1,412,412,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0039,in6run,BasketClose,406.00,1,0,1,1,406,406,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0040,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0041,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0042,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0043,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
